Word	Count
bear's	1
identity.	1
purpose.	1
brownies,	1
go.	3
things.	1
scholarship.	1
things,	1
knows?	1
where	1
could	6
glare	6
kiss	1
terrible	1
or...	1
keep	3
granddaughter,	1
conversation	1
feelings.	1
notebook	1
place	2
But?	1
annoying	2
great.	1
black,	1
loud	1
think	10
waited	1
first	3
Techtropolis,	1
back.	1
anymore.	2
feel	2
cute.	1
There	1
sit-down	1
one	3
lately,	1
pop	6
Merde.	1
strawberry.	3
pretty	1
minutes.	1
carry	1
Congratulations.	1
short.	1
drove	1
miss	1
you'd	1
two.	1
you're	14
little	7
be.	1
gay.	1
Kim	6
needed	1
Did	1
family.	1
insane?	1
girls	4
system	1
sure?	1
five-hour	1
their	3
gay?	1
ASD	1
white	1
legs	1
store	2
we're	2
you'll	1
group.	1
on.	2
way	1
mostly	1
that	44
spoke,	1
'cause	1
took	2
much.	1
est	1
brother?	1
part	1
on?	2
If	2
Wait,	1
Um...	8
from?	1
Stop	1
than	1
Scholarship.	1
confirmed.	1
girl?	2
distance	1
kind	3
Blast	1
everything's	1
nerdy's	1
Come	3
gotta	2
Ooh,	3
zero	1
cake.	1
girl.	3
See	1
girl,	2
interview,	2
interview.	1
cards	1
hot.	1
bet	1
Whatever.	1
and	51
cleaner	1
He's	4
half	1
Peace	1
mind	1
spectrum	2
spent	1
Evan's	1
well,	4
say	3
room	1
sweatshirt.	6
have	26
sweatshirt,	2
need	9
seen	3
seem	2
about...	1
cards,	1
Do	7
afraid	2
do.	5
on,	1
nut.	1
What?	4
Jayson.	1
comfortable,	2
moments.	2
for...	1
Let's	5
also	1
scrotes.	1
here,	1
take	3
which	4
campus.	1
world.	1
What,	1
With	6
facts.	1
tell.	1
blue	1
sure	3
Wise	1
sell,	1
fancy.	1
see?	1
who	7
that.	7
interviewed	1
Yeah.	15
most	1
Yeah,	15
said	1
fast.	2
lunch,	2
Fresh	1
The	4
knuckles,	1
uniform,	1
cool.	1
take?	1
yeah?	1
takes	2
reminds	3
Thermos,	1
Breathing	1
clear	1
sometimes	4
upset	1
saying?	1
ashamed	1
face	1
yeah.	1
Wow.	1
Antarctica	1
not!	1
Mom.	1
Mom,	1
Meatball	1
hear	3
need.	1
night,	1
night.	2
idea!	1
science	2
saying	2
knock.	1
muscly	1
Paris	1
text	1
What	3
one.	1
attack...	1
hopes	1
Middle	1
place.	1
stoned	2
mean,	2
Dad,	1
kid?	1
find	2
fifth	1
one?	1
Listen,	2
touches	1
true.	1
Cute.	1
uh...	1
Something	1
paranoid	1
nervous	1
recommendation.	1
Eiffel	1
nervous.	1
nervous,	2
should	4
being	3
only	1
going	7
goodbye.	1
Mom	1
dense,	1
classy.	3
boyfriend	1
uh,	2
?	2
wearing	3
do	8
his	9
years.	2
can.	1
get	23
look.	1
fruit.	1
stop	1
lucky	1
Leave	1
feels	2
ce	1
words	1
pretty.	1
during	2
thingys	1
procedures	1
him	7
celebrate	1
freaking	2
Right	1
talking.	1
Help	1
wake-up	1
mates.	1
names	1
anything.	1
calling	2
are.	1
bad	1
Uh,	2
situation.	1
she	17
contain	1
plays]	1
neat,	1
bought	1
steal	1
crazy.	1
okay,	2
For	1
fries	1
messing	1
rare.	1
ashamed.	3
Kind	1
around	4
hasn't	2
places?	1
see	2
decided	1
are	17
seal	1
Plus,	1
Jayson...	1
best	1
cozy	1
lot.	1
Write	1
sorry...	1
Somebody	1
onto	1
Animals'	1
That	4
dryer.	2
school.	1
tend	1
Chuck.	1
case	1
chewy	1
years,	1
use	1
between	1
"Well,	1
probably	2
fashioned,	1
tolerance	1
No	2
man.	1
pants	2
blow	1
we	12
outsized	1
anyway.	1
ask	1
were	7
subject	1
away,	1
official.	1
honest,	1
job	1
wear	3
Couples.	1
Um,	2
precious	1
helicopters.	1
faced	1
Bob,	1
last	2
curly	1
sweatshirt	1
policy	1
school,	1
many	4
wouldn't	1
barely	1
autistic.	1
Aw.	1
ditch.	1
Trouble,	1
way.	2
'Cause	1
Whoa,	1
empty.	1
seeing	1
whole	4
can't	4
Halley	1
come	2
anxious,	1
office,	2
Her	1
price,	1
seems	1
snuggle.	1
money.	1
forgot	1
money,	1
walk	1
phone?	1
neurotypicals...	1
together.	1
laugh	1
cousin	1
Bad.	1
blonde	1
done.	1
picking	1
now,	2
late	1
hey,	1
I've	4
it's	16
Arctic	2
Here.	1
three	2
been	6
Most	1
dress?	1
much	1
damn	1
Sorry,	2
lady's	1
turtle,	1
huge	1
Beth	2
home.	1
home,	1
Diego	1
wants	2
this!	1
life	2
it;	1
Especially	1
brother	9
Arr.	1
what's	6
else	1
language	1
whatever	1
figured	1
Beth,	1
Donna	1
Beth.	1
child	1
She's	1
worked	2
PhD	1
steamrolled	4
present	1
That's	12
And	21
cray.	2
pierce	1
handling	1
look	5
talking	1
these	3
in...	1
tried,	1
okay.	5
disappeared,	1
brochures.	1
will	3
obsolete.	1
while	3
know...	1
surprised	1
super-annoying.	1
fiesta.	1
wild	1
life.	2
okay?	4
guide	1
trinkets	1
we'll	1
sister.	1
talk.	2
order	1
is	29
person.	3
it	28
Googling	1
brother.	1
good	3
punched	2
kindergarten,	1
in	31
"Cane	1
You	39
Sam...	1
said,	1
Tell	2
Good.	1
if	3
grown	1
away.	2
different	1
pairs...	1
shirt	1
highlighter	1
Mm,	1
dude's	1
sing,	1
make	1
little,	1
of.	1
So,	2
same	2
any	3
room.	1
I,	1
so...	5
Jong	6
bearded	1
used	5
I	150
closet.	2
monogamous	1
hang	1
"empties,"	1
bullying	1
usually	1
running	1
uses	1
closet?	1
bathroom.	1
totally	1
blamed	1
relies	1
overwhelmed,	1
off	1
thing?	2
fully	1
try	1
Is	3
salon?	1
It	9
scholarships.	1
thought	1
ex.	1
wasn't?	1
thing.	2
does	1
In	1
cool,	1
um...	1
the	65
Zahid's	1
spend	1
charged	1
You're	8
"NTs"	1
Thank	3
just	22
am.	1
athletic	1
fears	1
wise.	1
Seems	1
sophisticated.	1
actually,	1
front	1
batteries	1
staring,	1
bugged	1
We're	2
touch	1
Hello?	1
he'll	2
gonna...	1
Happy	1
Oh,	12
Be	2
Oh.	8
work.	2
shoes.	1
lady	1
'cause,	1
amazing.	1
had	6
Oh!	1
nice?	1
hall	1
returned	1
board	1
It's	27
Pardon,	1
has	6
Steamrolled	1
smart	1
den.	1
wife,	1
customers	1
ago.	3
Last	1
They	2
rules	1
big	4
survival	1
feeling?	1
Bye.	1
gonna	8
well...	1
autism.	1
five	3
know	20
mom	1
bit	4
bloody	1
disappointed	1
Nerds	1
formal	1
Bye,	1
chocolate-covered	1
We	5
nice	3
like	35
inviting	1
touched	1
future	1
proposing.	1
sorry.	2
dating.	1
Are	7
night	1
become	2
Promise.	1
sometime	1
trying	2
Before	1
Hey.	3
Hey,	12
because	12
old	1
school	5
deal	1
people	12
understand	2
it,	6
some	6
back	2
hair	6
born	1
towards	1
past.	1
New	1
Shuga"	1
pretzels	1
happens	1
before.	1
fun.	2
Right?	1
for	25
trouble.	1
Look.	2
Look,	3
though	1
"That's	1
fine?	1
just,	2
everything	3
tracker	1
paint.	1
It'd	2
rockets	6
texting.	1
snuggle	1
refolded	1
good.	5
He	4
think.	1
be	29
loud.	1
run	2
Look	9
stuff,	1
fly	6
stuff.	4
here?	2
now.	4
24-hour	1
very,	1
discount	1
You'll	3
You,	1
peer	1
stuff?	1
super	2
by	2
hiding	2
hearing	1
RSVPed.	1
about	18
works	3
hard	1
would	5
eat	3
getting	2
therapist,	1
of	27
what,	1
choppers.	1
favorite	1
neurotypicals.	1
way,	1
stop,	1
dinner	1
swear	1
Hi.	2
007,	6
own	1
um,	1
mean	2
or	9
out.	2
Really	1
Yes.	1
Yes,	3
Got	1
letter	1
recruited	2
honest.	1
wanted.	1
into	6
French	1
year	1
violence.	1
socks	1
Cute	1
girlfriend,	1
girlfriend.	5
But	18
apologize	1
Jesus!	1
prompt.	1
your	27
why?	1
rely	1
Paige	3
familiar.	1
her	11
cha-cha.	1
spending	1
extremely	1
support	1
there	3
tour	1
birthday.	1
long	1
why	2
Paige,	5
Paige.	6
clinical	1
batteries.	1
lot	2
place,	1
Clayton	6
him."	1
was	24
jinx	1
Great,	1
you.	14
crushing	1
you,	4
sister	1
Kayla,	1
form	1
what?	4
bus	1
coke	1
bother	1
but	12
you?	2
Honey,	3
Antarctica's	1
strawberries	1
♪	64
bill,	1
nerdy.	1
manager,	1
with	30
bossy	1
kidding.	1
he	12
I'll	3
they're	3
made	4
romantic	1
up?	1
autism	2
dangerous	1
that,	1
open!	1
up	5
this.	2
strawberry	1
books	1
pond?	1
Key.	1
mature	1
problem	1
minutes	2
called	1
this?	3
Goodbye.	1
Garden.	1
sort	1
babe.	2
money	1
hated	2
trying,	1
Me,	1
am	5
lost.	1
you've	1
an	7
Supermodels	1
How	4
as	5
sharing	3
right	5
at	20
But...	1
girlfriend	4
kind.	1
kind,	1
Twenty-five!	1
shit	1
Apparently,	2
something.	1
beyond	1
yoga	1
calm	1
when	17
bed.	1
Sam.	6
brother's	2
Nick.	1
These	1
other	8
Know	1
but...	1
department	1
call,	1
you	84
really	3
smell	1
like,	2
Casey,	5
polar	1
VI	1
move.	1
period.	1
knew	1
time	9
e-mail.	3
ici	1
Chuck	2
let's	1
Oregon.	1
important	1
track	1
she's	4
is?	1
decorated	1
hurt	2
friends	3
fur.	1
back?	1
not.	2
individual	2
dude,	1
came	1
nice.	8
Well,	8
As	1
dude.	1
Wow!	2
diagnosis	1
teeth	1
So	6
having	1
once	2
